ID,Group,Name,Address,Long,Lat,About,Image,Other,,,
133 Washington Place,Publication,<b>Sheridan Square Company</b>,133 Washington Place,-74.00170684,40.73206783,"The Sheridan Square Company, headed by Arthur Moss, published local writers as well as <b>The Quill</b><b><a href= ""https://play.google.com/books/reader?id=Q0VFAAAAYAAJ&hl=en&pg=GBS.PA2"">The Quill</b></a>, a local art and literary monthly started by Arthur Moss and Harold Hersey, was produced, as it states on the masthead ""for, of and by Greenwich Village.""  The Quill ran from 1917 to 1922. The editorial in the second issue (July 16, 1916) announced that,  <i>Beginning with this issue, The Quill will be edited co-operatively by a group of artists and writers of Sheridan Square... The Quill is the first Village magazine to try co-operative editing, and is therefore of special interest to the community.</i>Harold Hersey, the editor, had just resigned to go into the military .  By 1921, The Quill had been taken over by Robert Edwards who, as sole editor,  called it <a href=""https://babel.hathitrust.org/cgi/imgsrv/image?id=mdp.39015063920741;seq=5;width=850"">""his magazine of Greenwich Village.""</a>",https://raw.githubusercontent.com/alisonporchnik/GV_Map.io/master/images/The_Quill.jpg,,,,
17 West 8th Street,Place,<b>Washington Square Bookshop</b>,17 West 8th Street,-73.99690568,40.73258001,"Egmont Ahrens (pictured) was a publisher and proprietor of the <b>Washington Square Bookshop</b>, which was a place to socialize as well as browse, as an ad in the first (June 1917) issue of <i>The Quill </i> notes:</p><p> <center>Egmont Ahrens’ Washington Sq. Bookshop  <br>New Books and New Decorations, but the old Welcome for Villagers. A Place for ""Quillers” to Browse. <br>Books that are Literature.</center></p><p> Ahrens also wrote and published <a href=""https://archive.org/details/littlebookofgree00aren""><i>The Little Book of Greewich Village</i></a> (1918), a neighborhood guidebook.",https://raw.githubusercontent.com/alisonporchnik/GV_Map.io/master/images/WS_Bookshop.jpg?embed=true,,,,
4 Christopher Street,Place,<b>Greenwich Village Bookshop</b>,4 Christopher Street,-73.99990439,40.73387266,"Image held by Princeton University Libraries. <br/> Also known as ""Frank Shay's Bookshop,"" the <b>Greenwich Village Bookshop</b> served as a vital hub of social and cultural activity in the short time it was open (1920-1925). The shop was a frequent stop for artists and writers visiting the Village. The narrow door to Shay's office became a site of pilgrimage: ""signed by 242 artists, writers, publishers, and other notable habitués of Greenwich Village.""  The door is housed at the Harry Ransom Center at The University of Texas at Austin, and served as the basis for a comprehensive <a href= ""https://norman.hrc.utexas.edu/bookshopdoor/home.cfm#1"">digital exhibit</a>; thus it remains a <a href= ""https://norman.hrc.utexas.edu/bookshopdoor/#1/theshop.cfm? "">""portal to Bohemia.""</a>  Shay also published out of the shop, like other booksellers.   Titles included a <i>The Measure</i>, a poetry magazine, a newspaper called <i>The Greenwich Villager<i>, chapbooks, and small editions of poetry, prose, and drama.      ",https://raw.githubusercontent.com/alisonporchnik/GV_Map.io/master/images/GV_Bookshop.jpg?embed=true,,,,
150 West 4th Street,Place,"<sm>Image courtesy of the Schlesinger Library on the History of Women in America, Radcliffe Institute</sm><br/><b>The Mad Hatter Tea Room</b>",150 West 4th Street,-74.000593,40.73146,"""Down the Rabbit Hole"" was painted backwards over the door by sculptor Edith Unger, who opened the Mad Hatter tea room in 1916; it is thought to be the first tea room in the neighborhood. In 1917 Unger sold it to employee Eliza “Jimmie” Criswell (pictured) and her partner Mathilda Spence.<p>
“On any particular night one might run into Sinclair Lewis, Lewis Mumford, the Gish sisters, poet Harry Kemp, or journalist Hendrik Willem Van Loon,” writes blogger <a href= ""http://daytoninmanhattan.blogspot.com/2013/11/the-mad-hatter-tearoom-no-150-west-4th.html""> Tom Miller of <i>Daytonian in Manhattan</i></a>.",http://gothamist.com/attachments/arts_jen/madhatter2.jpg,,,,
137 MacDougal Street,Place,<sm>From the collections of the Museum of the City of New York.</sm><br/><b>Polly Holladay's Restaurant</b>,137 MacDougal Street,-74.000027,40.730975,"The Greenwich Village Inn was more often called Polly Holladay's, or simply Polly's, by regulars who flocked to the restaurant as much for her cheap spaghetti dinners as for the inn's social scene. An intrepid reporter from The New York Times, who went slumming in the Village one evening, reported that<br/><img src=""https://gvshp.org/blog/wp-content/uploads/2016/08/Pollys-mention-NYTimes.jpg""><br/>Polly's operated in the same building where The Liberal Club met a<a href=""https://gvshp.org/blog/2016/08/09/village-people-polly-holladay/"">;  the club was popular incubator for artists and intellectuals.""</a>  Polly would move the restaurant at least twice in her career as restauranteur.",https://gvshp.org/blog/wp-content/uploads/2016/08/pollysmcny.jpg,https://victualling.files.wordpress.com/2010/07/romanymarieca1920.jpg,,,
46 Washington Square South,Place,<b>Bobby Edwards' Studio</b>,46 Washington Square South,-73.999176,40.730748,"<b>Robert Edwards</b> was a regular fixture around Greenwich Village, known for his ditties poking fun at his social circle as well as for his cigar box ukuleles. A sometime writer for The Masses and other local periodicals, he became a chief contributor and later editor of The Quill--for which he also did comic illustrations. Edwards advertised in The Quill as well, doing a little bit of everything to make a buck: </p><p>                                                                                                                               <center><i>Robert Edwards
Maker of Ukalyptos, Second Cousin of The Ukulele.<br>
Studio: 46 Washington Sq. <br>
Painting, Poetry, Movie Acting, Music, Singing, Illustrating and General Art Work Neatly Done. <br>Also Contracts Taken to Make Restaurants Famous. Terms for Singing at Parties On Application.<br>
Also Portrait Photography.</i> </center></p>",https://raw.githubusercontent.com/alisonporchnik/GV_Map.io/master/images/bobby4.jpg?embed=true,,,,
6th Ave and West 4th Street,Place,"<sm><b>The Golden Swan</b><br/>Photograph by Robert Bracklow, 1900. Getty Images <sm>",6th Ave and West 4th Street,-74.000932,40.731638,"The Golden Swan Cafe <a href= “http://www.boweryboyshistory.com/2019/03/golden-swan-hell-hole-for-village.html”>, also known as the “Hell Hole”</a>, was a rough-and-tumble Village establishment popular locals. Its diverse clientele included “photographers, painters, writers and gadabouts,” who enjoyed cheap liquor in the back room. Although it admitted women, they had to use a separate entrance. The bar was also frequented by members of the still-sizeable African American community in the neighborhood; such places were known as “black and tans.” Eugene O’Neill was a regular patron. <p>
<a href= “http://www.boweryboyshistory.com/wp-content/uploads/2019/03/John-Sloan.jpg”>A well-known etching </a>by painter John Sloan depicts O’Neill in the upper right, sitting with a woman thought to be <a href= ""https://www.catholicworker.org/dorothyday/> Dorothy Day</a>, who later founded the <a href= ""Catholic Worker Movement. The place was once described as “something at once alive and deadly sinister. It was as if the combined soul of New York flowed underground and this was one of its vents.”</p>
Torn down in 1928 to make way for the new underground 6th Avenue IND subway line. The Golden Swan Garden now occupies the space.""The place was once described as “something at once alive and deadly sinister. It was as if the combined soul of New York flowed underground and this was one of its vents.”",http://www.boweryboyshistory.com/wp-content/uploads/2019/03/Robert-Bracklow-1900-1024x661.jpg,,http://www.boweryboyshistory.com/2019/03/golden-swan-hell-hole-for-village.html,,https://www.catholicworker.org/dorothyday/
91 Greenwich Avenue,Publication,<b><i>The Masses</i></b>,91 Greenwich Avenue,-74.001684,40.737243,"<i><b><a href=""https://en.wikipedia.org/wiki/The_Masses"">The Masses</a></b> was a was a graphically innovative magazine of socialist politics published monthly in the United States from 1911 until 1917, when federal prosecutors brought charges against its editors for conspiring to obstruct conscription...It published reportage, fiction, poetry and art by the leading radicals of the time such as Max Eastman, John Reed, Dorothy Day, and Floyd Dell, "" as well a less poliical writers including  Sherwood Anderson and Amy Lowell.</i><br/>Running against the trend of modernism, the magazine favored realist, more proletarian artwork (later called the ""ashcan school"").",https://raw.githubusercontent.com/alisonporchnik/GV_Map.io/master/images/Masses_1914_John_Sloan.jpg,,https://brooklynrail.org/2003/04/express/a-brief-history-of-the-masses,https://brooklynrail.org/2003/04/express/a-brief-history-of-the-masses,
1 East 8th Street,Place,<b>Hotel Brevoort</b>,1 East 8th Street,-73.996107,40.732293,"The Hotel Brevoort and its café were popular with heads of state as well as local more well-to-do ""Bohemians"" like Edna St. Vincent Millay and Eugene O'Neill. It ""was a popular spot for book readings, luncheons for nearby churches, dinners for the likes of Gertrude Whitney, and big fundraisers for institutions like St. Vincent’s. On January 18, 1916, the day before she was tried in Federal Court for sending her articles on birth control through the mail, Margaret Sanger gave a rousing speech at the hotel during a dinner held to support her. The New York Times captured the event saying it had 'the flavor of Bohemia and Greenwich Village'"" (<a href=""http://westviewnews.org/2012/07/brevoort-in-the-village/"">""Brevoort in the Village.""</a> Westview News: July1, 2012).",https://raw.githubusercontent.com/alisonporchnik/GV_Map.io/master/images/Brevoort_House.jpg,,http://westviewnews.org/2012/07/brevoort-in-the-village/,,
148 West 4th Street,Place,<sm>Image courtesy of the New York Historical Society. </sm><br/><b>The Samovar Tea House</b>,148 West 4th Street,-74.000559,40.731413,"Located adjacent to the Mad Hatter Tea Room, the <b>Samovar</b> boasted a rooftop annex for summer dining---""through the alley, up the stairs and over the roof.""  In the September 1917 issue of <i>The Quill</i>, the author of  ""'Round Our Square"" assured readers that ""the Sunday-night buffet suppers at the Samovar prove that on at least one night a week we need not worry about the H. C. of L.  [high cost of living].""  The Samovar was one of many “Russian” tea houses that were becoming a trend across the country in the ‘teens and Twenties, often operated by Russian refugees who had fled after the 1917 revolution. Claimed to be the oldest restaurant in Greenwich Village, the Samovar occupied what had once been a dairy barn. It became a dance hall at 9:00 pm. Nanni Bailey, the proprietress, served a diverse range of food to match the clientele: the menu included Boston baked beans and pumpkin pie.",https://compote.slate.com/images/f55a3533-bb3f-4f62-8787-14f5cfbd9880.jpg,http://www.provincetownplayhouse.com/history.html,,,
