ID,Group,Name,Address,Long,Lat,About,Image,Other,,,
133 Washington Place,Publication,Sheridan Square Company,133 Washington Place,-74.00170684,40.73206783,"The Sheridan Square Company, headed by Arthur Moss published local writers as well as <b>The Quill</b><b><a href= ""https://play.google.com/books/reader?id=Q0VFAAAAYAAJ&hl=en&pg=GBS.PA2"">The Quill</b></a>, a local art and literary monthly started by Arthur Moss and Harold Hersey, was produced, as it states on the masthead ""for, of and by Greenwich Village.""  The Quill ran from 1917 to 1922. The editorial in the second issue (July 16, 1916) announced that,  <i>Beginning with this issue, The Quill will be edited co-operatively by a group of artists and writers of Sheridan Square... The Quill is the first Village magazine to try co-operative editing, and is therefore of special interest to the community.</i>Harold Hersey, the editor, had just resigned to go into the military .  By 1921, The Quill had been taken over by Robert Edwards who, as sole editor,  called it <a href=""https://babel.hathitrust.org/cgi/imgsrv/image?id=mdp.39015063920741;seq=5;width=850"">""his magazine of Greenwich Village.""</a>",https://raw.githubusercontent.com/alisonporchnik/GV_Map.io/master/images/quill.jpg?embed=true,,,,
17 West 8th Street,Place,<b>Washington Square Bookshop</b>,17 West 8th Street,-73.99690568,40.73258001,"Egmont Ahrens (pictured) was a publisher and proprietor of the <b>Washington Square Bookshop</b>, which was a place to socialize as well as browse, as an ad in the first (June 1917) issue of <i>The Quill </i> notes:</p><p> <center>Egmont Ahrens’ Washington Sq. Bookshop  <br>New Books and New Decorations, but the old Welcome for Villagers. A Place for ""Quillers” to Browse. <br>Books that are Literature.</center></p><p> Ahrens also wrote and published <a href=""https://archive.org/details/littlebookofgree00aren""><i>The Little Book of Greewich Village</i></a> (1918), a neighborhood guidebook.",https://raw.githubusercontent.com/alisonporchnik/GV_Map.io/master/images/WS_Bookshop.jpg?embed=true,,,,
4 Christopher Street,Place,<b>Greenwich Village Bookshop</b>,4 Christopher Street,-73.99990439,40.73387266,https://norman.hrc.utexas.edu/bookshopdoor/#1/theshop.cfm?,https://raw.githubusercontent.com/alisonporchnik/GV_Map.io/master/images/GV_Bookshop.jpg?embed=true,,,,
150 West 4th Street,Place,"<sm>Image courtesy of the Schlesinger Library on the History of Women in America, Radcliffe Institute</sm><p><b>The Mad Hatter Tea Room</b>",150 West 4th Street,-74.000593,40.731473,"""Down the Rabbit Hole"" was painted backwards over the door by sculptor Edith Unger, who opened the Mad Hatter tea room in 1916; in 1917 she sold it to employee Eliza “Jimmie” Criswell (pictured) and her partner Mathilda Spence.
 “On any particular night one might run into Sinclair Lewis, Lewis Mumford, the Gish sisters, poet Harry Kemp, or journalist Hendrik Willem Van Loon,” writes blogger <a href= ""http://daytoninmanhattan.blogspot.com/2013/11/the-mad-hatter-tearoom-no-150-west-4th.html""> Tom Miller of <i>Daytonian in Manhattan</i></a>.",http://gothamist.com/attachments/arts_jen/madhatter2.jpg,,,,
137 MacDougal Street,Place,<sm>From the collections of the Museum of the City of New York.</sm><p><b>Polly Holladay's Restaurant</b></p>,137 MacDougal Street,-74.000027,40.730975,"Polly, who would move the restaurant at least twice in her career as restauranteur, served cheap spaghetti dinners to starving artists.  An intrepid reporter from The New York Times, who went slumming in the Village one evening, reported that<br/><img src=""https://gvshp.org/blog/wp-content/uploads/2016/08/Pollys-mention-NYTimes.jpg""><br/>Polly's operated in the same building where The Liberal Club met a<a href=""https://gvshp.org/blog/2016/08/09/village-people-polly-holladay/"">;  the club was popular incubator for artists and intellectuals."" </a> ",https://gvshp.org/blog/wp-content/uploads/2016/08/pollysmcny.jpg,https://victualling.files.wordpress.com/2010/07/romanymarieca1920.jpg,,,
46 Washington Square South,,<b>Bobby Edwards' Studio</b>,46 Washington Square South,-73.999006,40.730886,"<b>Robert Edwards</b> was a regular fixture around Greenwich Village, known for his ditties poking fun at his social circle as well as for his cigar box ukuleles. A sometime writer for The Masses and other local periodicals, he became a chief contributor and later editor of The Quill--for which he also did comic illustrations. Edwards advertised in The Quill as well, doing a little bit of everything to make a buck: </p><p>                                                                                                                               <center><i>Robert Edwards
Maker of Ukalyptos, Second Cousin of The Ukulele.<br>
Studio: 46 Washington Sq. <br>
Painting, Poetry, Movie Acting, Music, Singing, Illustrating and General Art Work Neatly Done. <br>Also Contracts Taken to Make Restaurants Famous. Terms for Singing at Parties On Application.<br>
Also Portrait Photography.</i> </center></p>",https://raw.githubusercontent.com/alisonporchnik/GV_Map.io/master/images/bobby4.jpg?embed=true,,,,
6th Ave and West 4th Street,,<b>The Golden Swan Tavern</b>,6th Ave and West 4th Street,-74.000932,40.731638,http://www.boweryboyshistory.com/2019/03/golden-swan-hell-hole-for-village.html,http://www.boweryboyshistory.com/wp-content/uploads/2019/03/Robert-Bracklow-1900-1024x661.jpg,,http://www.boweryboyshistory.com/2019/03/golden-swan-hell-hole-for-village.html,,https://www.catholicworker.org/dorothyday/
91 Greenwich Avenue,Publication,<b><i>The Masses</i> </b>,91 Greenwich Avenue,-74.001684,40.737243,"<i><b><a href=""https://en.wikipedia.org/wiki/The_Masses"">The Masses</b> was a was a graphically innovative magazine of socialist politics published monthly in the United States from 1911 until 1917, when federal prosecutors brought charges against its editors for conspiring to obstruct conscription...It published reportage, fiction, poetry and art by the leading radicals of the time such as Max Eastman, John Reed, Dorothy Day, and Floyd Dell, "" as well a less poliical writers including  Sherwood Anderson and Amy Lowell.</i></a><br/>Running against the trend of modernism, the magazine favored realist, more proletarian artwork (later called the ""ashcan school"").</p> ",https://raw.githubusercontent.com/alisonporchnik/GV_Map.io/master/images/Masses_1914_John_Sloan.jpg,,https://brooklynrail.org/2003/04/express/a-brief-history-of-the-masses,https://brooklynrail.org/2003/04/express/a-brief-history-of-the-masses,
1 East 8th Street,Place,<b>Hotel Brevoort</b>,1 East 8th Street,-73.996107,40.732293,"The Hotel Brevoort and its café were popular with heads of state as well as local more well-to-do ""Bohemians"" like Edna St. Vincent Millay and Eugene O'Neill. It ""was a popular spot for book readings, luncheons for nearby churches, dinners for the likes of Gertrude Whitney, and big fundraisers for institutions like St. Vincent’s. On January 18, 1916, the day before she was tried in Federal Court for sending her articles on birth control through the mail, Margaret Sanger gave a rousing speech at the hotel during a dinner held to support her. The New York Times captured the event saying it had 'the flavor of Bohemia and Greenwich Village'"" (<a href=""http://westviewnews.org/2012/07/brevoort-in-the-village/"">""Brevoort in the Village.""</a> Westview News: July1, 2012).",https://raw.githubusercontent.com/alisonporchnik/GV_Map.io/master/images/Brevoort_House.jpg,,http://westviewnews.org/2012/07/brevoort-in-the-village/,,
148 West 4th Street,Place,<sm>Image courtesy of the New York Historical Society. </sm><p><b>The Samovar Tea House</b>,148 West 4th Street, -74.000631,40.731578,"Located adjacent to the Mad Hatter Tea Room, the <b>Samovar</b> boasted a rooftop annex for summer dining---""through the alley, up the stairs and over the roof.""  In the September 1917 issue of <i>The Quill</i>, the author of  ""'Round Our Square"" assured readers that ""the Sunday-night buffet suppers at the Samovar prove that on at least one night a week we need not worry about the H. C. of L.  [high cost of living]""",https://compote.slate.com/images/f55a3533-bb3f-4f62-8787-14f5cfbd9880.jpg,http://www.provincetownplayhouse.com/history.html,,,
133 MacDougal Street,Place,<b>The Provincetown Playhouse</b>,133 MacDougal Street,-73.999968,40.730892,"The theater was home to the <a href=""https://en.wikipedia.org/wiki/Provincetown_Players""><b>Provincetown Players</b></a>, founded by Jig Cook and John Reed; the playhouse staged the early plays of O'Neill, Susan Glaspell, and poet Edna St. Vincent Millay, among many others. In 2008 the building was mostly demolished by New York University to make way for construction, although portions of it were integrated into the structure of the new building. ",https://raw.githubusercontent.com/alisonporchnik/GV_Map.io/master/images/Provincetown_Playhouse.jpg,,https://upload.wikimedia.org/wikipedia/commons/b/b8/Provincetown_Playhouse%2C_133_MacDougal_Street%2C_Manhattan_%28NYPL_b13668355-482856%29.jpg,https://www.nycgovparks.org/parks/west-4th-street-courts/highlights/10766,
125 East 11th Street,Place,<b>Webster Hall</b>,125 East 11th Street,-73.989098,40.731863,"Still in operation primarily as a concert venue, Webster Hall was the site of Socialist, Anarchist, and union political rallies, parties, and costume balls thrown by and for the artist community in the Village.",https://raw.githubusercontent.com/alisonporchnik/GV_Map.io/master/images/Costume_Ball_at_Webster_Hall_crop.jpg,,"√ä""Nicknamed the ""Devil's Playhouse"" by the socialist magazine√äThe Masses,√äWebster Hall became particularly known for the wilder and more risque events of the time;√äMarcel Duchamp,√äJoseph Stella,√äMan Ray,√äFrancis Picabia,√äCharles Demuth,√äF. Scott Fitzgerald,√äLangston Hughes,√äBob Brown, and many other notables regularly attended events there during this time."" (""Webtster Hall, Wikipedia) https://en.wikipedia.org/wiki/Webster_Hall#1886%E2%80%931940",,
Greenwich Village To Day,Publication,"<b>""Greenwich Village To Day""</b> ",Greenwich Village, -74.001613,40.732339,"A hand-drawn map by Robert Edwards, depicting the Village and its familiar haunts in 1925.",https://gvshp.org/blog/wp-content/uploads/2014/01/1925GreenwichVillage.jpg,,,,
58 Washington Square South,Place,<sm>Courtesy of the New York Historical Society. </sm><p><b>Grace Godwin's Garrett</b>,58 Washington Square South,-73.998046,40.730197,"A 1917 ad in <i>The Quill</i> enjoined readers to ""Let Grace Godwin serve you breakfast at the Garret of Inspiration” (although she is shown above serving a spaghetti dinner). Godwin catered primarily to her personal social circle, calling the garret ""a meeting place of interested and interesting people.""  <a href=""http://gothamist.com/2015/01/08/washington_square_flashback.php"">was taken to court</a> for violating a city statute against barring entry to non-white patrons</p>  <br/>                                                                                                                                                                                                      The garret was formerly known as ""Bruno's Garret"", operated by Guido Bruno, publisher of  <a href=""http://bluemountain.princeton.edu/bluemtn/?a=d&d=bmtnaaq19161108-01.2.2&e=-------en-20--1--txt-txIN-------""<i>Bruno's Weekly</i></a> -- was often derided by other Village personalities for his efforts to exploit the Village as a tourist attraction. </p><br/>                                                                                                                    <img src=""https://raw.githubusercontent.com/alisonporchnik/GV_Map.io/master/images/WS_South_Brunos.jpeg?embed=true""</><p> ",http://gothamist.com/attachments/arts_jen/godwindinner15.jpg,,,,
West 4th Street,Place,"West Fourth Street, photographed by Jessie Tarbox Beals",West 4th Street,-74.001612,40.732362,Pictured in the photo is the Pig and Whistle Inn at 175.,"<a data-flickr-embed=""true""  href=""https://www.flickr.com/photos/schlesinger_library/19058524262/"" title=""PC60-60f-43""><img src=""https://live.staticflickr.com/369/19058524262_a25c85c308_n.jpg"" width=""320"" height=""213"" alt=""PC60-60f-43""></a><script async src=""//embedr.flickr.com/assets/client-code.js"" charset=""utf-8""></script>",,,,
6 _ Sheridan Square,Place,"<sm>Image courtesy of the Schlesinger Library on the History of Women in America, Radcliffe Institute</sm><p><b>Village Art Gallery</b> ",6 _ Sheridan Square,-74.002351,40.733298,"Advertising ""Photographs, Paintings, Lemonade, Shortcake"",  the Village Art Gallery was the project of <a href=""https://en.wikipedia.org/wiki/Jessie_Tarbox_Beals""><b>Jessie Tarbox Beals</b></a>, in 1917. Beals, who documented Village life (and whose photographs are featured in this project), managed the gallery for less than a year, but later opened a salon and uptown. The gallery later became The Crumperie, a tea shop.<img src= ""https://ephemeralnewyork.files.wordpress.com/2014/01/jessietarboxbealscrumperie.jpg:</>","<a data-flickr-embed=""true""  href=""https://www.flickr.com/photos/schlesinger_library/9631142750/"" title=""PC60-7-3""><img src=""https://live.staticflickr.com/3754/9631142750_2f59698fde_n.jpg"" width=""250"" height=""320"" alt=""PC60-7-3""></a><script async src=""//embedr.flickr.com/assets/client-code.js"" charset=""utf-8""></script>",,,,
